# Fixed HSP algorithms and optimized URS assumptions for 103 functions												
# Optimization was done with regards to metric 'balanced_accuracy', based on 20 cross-validations												
# Other listed parameters such as cv_test_pool, hsp_min_likelihood_for_presence & hsp_max_likelihood_for_absence have not been optimized, and simply specify the values used during cross validation.												
# Listed metrics other than 'balanced_accuracy' are not optimized, and simply refer to the score achieved in that metric.												
# Generated on: 2026-01-21 19:08:10.399305												
# Used command: dependencies/faprotax.R -d dependencies/faprotax --mode optimize --omit_functions photosynthetic_cyanobacteria --NCV 20 --unknown_ref_states omit,absent --cv_test_pool config -c dependencies/faprotax/default_config.tsv --out_cv dependencies/faprotax/optimization_results -v --include_summary_comments												
function	hsp_algorithm	unknown_ref_states	cv_test_pool	hsp_min_likelihood_for_presence	hsp_max_likelihood_for_absence	true_positive_rate	true_negative_rate	accuracy	balanced_accuracy	abs_bias	rel_bias	MCC
acetate_oxidation	empirical_probabilities	omit	known	0.50000001	0.49999999	0.781278215	0.720227164	0.747545967	0.750752689	0.03061726	0.061404996	0.495983294
acetoclastic_methanogenesis	empirical_probabilities	absent	known	0.50000001	0.49999999	0.906666667	0.999812129	0.999625047	0.953239398	-2.71E-21	0.070833333	0.880511665
aerobic_ammonia_oxidation	nearest_neighbor	absent	known	0.50000001	0.49999999	0.781652661	0.995807673	0.990909091	0.88901273	0.002892562	Inf	0.718722509
aerobic_anoxygenic_phototrophy	Markov	absent	known	0.50000001	0.49999999	0	0.999881517	0.99862069	0.499881517	-0.001149425	-0.9	-0.002304147
aerobic_chemoheterotrophy	Markov	omit	known	0.50000001	0.49999999	0.983553127	0.942268217	0.969362364	0.962910672	0.006143079	0.008284277	0.919018466
aerobic_nitrite_oxidation	nearest_neighbor	absent	effective	0.50000001	0.49999999	0	1	0.998398577	0.5	-0.001601423	-1	NA
alcohol_fermentation	Markov	omit	known	0.50000001	0.49999999	0.874806404	0.985569154	0.977377049	0.930187779	0.006721311	0.109335982	0.82048697
alginate_degradation	nearest_neighbor	absent	known	0.50000001	0.49999999	0.488267875	0.872321974	0.806451613	0.680294924	-0.007526882	-0.030235011	0.378287288
aliphatic_non_methane_hydrocarbon_degradation	empirical_probabilities	absent	known	0.50000001	0.49999999	0.9290353	0.940305001	0.948110818	0.934670151	-0.005845506	-0.013833514	0.893133086
anaerobic_chemoheterotrophy	empirical_probabilities	omit	known	0.50000001	0.49999999	0.843547038	0.929050863	0.890350789	0.88629895	-0.024474445	-0.056932383	0.775645491
anammox	binomial	absent	known	0.50000001	0.49999999	1	1	1	1	0	0	1
animal_parasites_or_symbionts	Markov	absent	effective	0.50000001	0.49999999	0.601182459	0.96584604	0.948784978	0.78351425	0.014322533	0.316636646	0.49827225
anoxygenic_photoautotrophy	Markov	absent	known	0.50000001	0.49999999	0.842001104	0.993186105	0.984259259	0.917593605	-0.003518519	-0.053770416	0.858768664
anoxygenic_photoautotrophy_Fe_oxidizing	binomial	absent	effective	0.50000001	0.49999999	0	1	0.998809524	0.5	-0.001190476	-1	NA
anoxygenic_photoautotrophy_H2_oxidizing	Markov	absent	known	0.50000001	0.49999999	0.80702381	0.98438095	0.981226054	0.89570238	0.010344828	0.550416667	0.664797867
anoxygenic_photoautotrophy_S_oxidizing	Markov	absent	known	0.50000001	0.49999999	0.908433291	0.989395962	0.985205993	0.948914626	0.005430712	0.109208275	0.856310338
aromatic_compound_degradation	Markov	absent	known	0.50000001	0.49999999	0.950840312	0.793715447	0.900689655	0.87227788	0.022068966	0.028283349	0.694985196
aromatic_hydrocarbon_degradation	Markov	absent	known	0.50000001	0.49999999	0.822385569	0.756614872	0.8125	0.78950022	0.031730769	0.091488734	0.626780091
arsenate_detoxification	binomial	absent	effective	0.50000001	0.49999999	0	1	0.99	0.5	-0.01	-1	NA
arsenate_respiration	binomial	omit	known	0.50000001	0.49999999	0.559543651	0.993843495	0.989384289	0.776693573	0.001273885	0.338630952	0.513070976
arsenite_oxidation_detoxification	binomial	absent	effective	0.50000001	0.49999999	0	1	0.993333333	0.5	-0.006666667	-1	NA
arsenite_oxidation_energy_yielding	binomial	absent	effective	0.50000001	0.49999999	0	1	0.994927536	0.5	-0.005072464	-1	NA
cellulolysis	nearest_neighbor	absent	known	0.50000001	0.49999999	0.425815109	0.861524479	0.784782609	0.643669794	0.006187291	0.042065136	0.287457654
chemoheterotrophy	Markov	omit	known	0.50000001	0.49999999	0.981481426	0.879542765	0.975790833	0.930512096	-0.0116204	-0.012011092	0.679213486
chitinolysis	binomial	absent	known	0.50000001	0.49999999	0.442561382	0.902034235	0.825721154	0.672297809	-0.016586538	-0.080427833	0.362503824
chlorate_reducers	Markov	absent	known	0.50000001	0.49999999	0.787037037	0.784313725	0.933333333	0.783333333	0.013333333	Inf	0.746263284
chloroplasts	Markov	absent	known	0.50000001	0.49999999	0.09	0.999065653	0.996571958	0.544532826	-0.001575046	-0.66047619	0.251511213
collagen_degradation	empirical_probabilities	absent	known	0.50000001	0.49999999	0.686064214	0.972896303	0.891232079	0.829480258	0.003000919	0.056859668	0.615321174
dark_hydrogen_oxidation	Markov	omit	known	0.50000001	0.49999999	0.876826242	0.963392501	0.944274809	0.920109372	-0.002290076	-0.009806758	0.847285662
dark_iron_oxidation	binomial	absent	known	0.50000001	0.49999999	0.780833333	0.964805517	0.942105263	0.872819425	0.007894737	0.293333333	0.706982381
dark_oxidation_of_sulfur_compounds	empirical_probabilities	absent	known	0.50000001	0.49999999	0.795040619	0.957299338	0.892631422	0.876169978	-0.020190032	-0.048679631	0.74799424
dark_sulfide_oxidation	nearest_neighbor	absent	known	0.50000001	0.49999999	0.869899684	0.959252724	0.939215686	0.914576204	0.017647059	0.137380397	0.786839397
dark_sulfite_oxidation	nearest_neighbor	absent	known	0.50000001	0.49999999	0.676190476	0.996047145	0.984210526	0.836337868	0.003947368	Inf	0.699115907
dark_sulfur_oxidation	Markov	absent	known	0.50000001	0.49999999	0.796995782	0.955660519	0.940594059	0.87632815	0.018811881	0.184536505	0.699808978
dark_thiosulfate_oxidation	nearest_neighbor	absent	known	0.50000001	0.49999999	0.82759444	0.971590767	0.947685185	0.899592604	0.002314815	0.03315685	0.788743813
dissimilatory_arsenate_reduction	empirical_probabilities	absent	effective	0.50000001	0.49999999	0	1	0.98125	0.5	-0.01875	-1	NA
dissimilatory_arsenite_oxidation	nearest_neighbor	absent	effective	0.50000001	0.49999999	0	1	0.9875	0.5	-0.0125	-1	NA
facultative_anaerobes	Markov	omit	known	0.50000001	0.49999999	0.829532124	0.893867348	0.873444284	0.861699736	0.021201158	0.069469182	0.710078976
fermentation	empirical_probabilities	omit	known	0.50000001	0.49999999	0.820863767	0.871848246	0.845953709	0.846356007	-0.024405908	-0.049082028	0.692610815
fish_parasites	empirical_probabilities	absent	effective	0.50000001	0.49999999	0	1	0.999558052	0.5	-0.000441948	-1	NA
fumarate_respiration	Markov	omit	known	0.50000001	0.49999999	0.697785642	0.977748379	0.962235067	0.837767011	0.00982659	0.253912107	0.611409165
gelatin_degradation	empirical_probabilities	absent	known	0.50000001	0.49999999	0.696600046	0.782479045	0.74738018	0.739539546	-0.003314685	-0.007350669	0.481758582
human_associated	Markov	absent	effective	0.50000001	0.49999999	0.529378098	0.949209114	0.925018409	0.739293606	0.020931517	0.371327369	0.41371308
human_gut	Markov	absent	effective	0.50000001	0.49999999	0.444062939	0.980715638	0.971925626	0.712389288	0.009885862	0.629976598	0.336713521
human_pathogens_all	Markov	absent	effective	0.50000001	0.49999999	0.270401418	0.989080157	0.975220913	0.629740787	-0.003424153	-0.105103766	0.262779354
human_pathogens_diarrhea	nearest_neighbor	absent	effective	0.50000001	0.49999999	0.485588972	1	0.919047619	0.742794486	-0.052380952	-0.352130326	0.676314306
human_pathogens_gastroenteritis	binomial	absent	effective	0.50000001	0.49999999	0.40625	1	0.94	0.703125	-0.045	Inf	0.687305717
human_pathogens_meningitis	nearest_neighbor	absent	effective	0.50000001	0.49999999	0.466190476	0.93125	0.822727273	0.698720238	-0.045454545	-0.09	0.420171678
human_pathogens_nosocomia	Markov	absent	effective	0.50000001	0.49999999	0.578947368	1	0.97	0.789473684	-0.03	-0.421052632	1
human_pathogens_pneumonia	Markov	absent	effective	0.50000001	0.49999999	0.442669553	0.996941472	0.99552651	0.719805512	0.001712077	0.840892857	0.344749625
human_pathogens_septicemia	nearest_neighbor	absent	effective	0.50000001	0.49999999	0.648333333	0.957638889	0.881818182	0.802986111	-0.013636364	-0.011666667	0.594145815
hydrocarbon_degradation	max_parsimony	absent	known	0.50000001	0.49999999	0.933281008	0.975641026	0.93046875	0.954461017	-0.00859375	-0.014099134	0.859013842
hydrogenotrophic_methanogenesis	empirical_probabilities	omit	known	0.50000001	0.49999999	0.915057165	0.999640889	0.999303499	0.957349027	1.88465834060627e-05	0.021887696	0.908556734
intracellular_parasites	empirical_probabilities	absent	known	0.50000001	0.49999999	0.718136847	1	0.815261351	0.873076923	-0.131350689	-0.228855883	0.664429186
invertebrate_parasites	nearest_neighbor	absent	effective	0.50000001	0.49999999	0.65284326	0.997727833	0.995268778	0.825285547	-9.20E-05	0.012222312	0.647576189
iron_oxidation	binomial	absent	known	0.50000001	0.49999999	0.744047619	0.923210678	0.87962963	0.833629149	0.035185185	0.34702381	0.592512665
iron_respiration	Markov	absent	known	0.50000001	0.49999999	0.568508367	0.981181637	0.968356998	0.774845002	0.010547667	0.443380162	0.463394582
knallgas_bacteria	nearest_neighbor	absent	effective	0.50000001	0.49999999	0	0.999540227	0.997173913	0.5	-0.001956522	Inf	NA
lactate_oxidation	empirical_probabilities	omit	known	0.50000001	0.49999999	0.737491381	0.708665998	0.720782227	0.72307869	0.041531446	0.094336524	0.443241274
lactic_acid_fermentation	Markov	absent	known	0.50000001	0.49999999	0.944355123	0.982729372	0.976255708	0.963542247	0.007153729	0.048778241	0.908500097
ligninolysis	Markov	absent	known	0.50000001	0.49999999	0.137254902	0.983333333	0.829411765	0.558823529	0.023529412	Inf	0.058536787
mammal_gut	Markov	absent	effective	0.50000001	0.49999999	0.529624049	0.97682969	0.965555965	0.753226869	0.010695876	0.439814479	0.42641389
manganese_oxidation	Markov	absent	effective	0.50000001	0.49999999	0.5	1	0.994927536	0.75	-0.003623188	-0.4	0.830882353
manganese_respiration	Markov	omit	known	0.50000001	0.49999999	0.609259259	0.993503221	0.98974359	0.801323428	0.00534188	Inf	0.431532639
methanogenesis	nearest_neighbor	omit	known	0.50000001	0.49999999	1	0.99988632	0.999887683	0.99994316	0.000112317	0.01025641	0.995072683
methanogenesis_by_CO2_reduction_with_H2	Markov	absent	known	0.50000001	0.49999999	1	0.998996755	0.999004134	0.999498377	0.000995866	0.154293813	0.933875056
methanogenesis_by_disproportionation_of_methyl_groups	binomial	omit	known	0.50000001	0.49999999	0.975641026	0.99981164	0.999737336	0.987726333	0.00011257	0.03496337	0.959446097
methanogenesis_by_reduction_of_methyl_compounds_with_H2	Markov	absent	known	0.50000001	0.49999999	0.416666667	0.999547909	0.999341114	0.708207689	0.000244729	Inf	0.586316231
methanogenesis_using_formate	nearest_neighbor	absent	known	0.50000001	0.49999999	0.855716932	0.999001789	0.998220974	0.927359361	0.000205993	0.053210216	0.837132261
methanol_oxidation	empirical_probabilities	omit	known	0.50000001	0.49999999	0.823081247	0.893487636	0.879502033	0.858284442	-0.00198543	0.00431651	0.732523006
methanotrophy	max_parsimony	omit	known	0.50000001	0.49999999	0.865417144	0.96180394	0.940816327	0.913610542	-0.034693878	-0.095048743	0.868191904
methylotrophy	nearest_neighbor	omit	known	0.50000001	0.49999999	0.904528673	0.856659791	0.865972222	0.880594232	0.013194444	0.028821979	0.718913303
nitrate_ammonification	Markov	omit	known	0.50000001	0.49999999	0.288596491	0.997404214	0.991646778	0.643061358	-0.000954654	Inf	0.35371186
nitrate_denitrification	Markov	omit	known	0.50000001	0.49999999	0.393012068	0.966771827	0.94123548	0.679891947	0.003959873	0.109314745	0.344038706
nitrate_reduction	empirical_probabilities	omit	known	0.50000001	0.49999999	0.644494223	0.748433276	0.704448727	0.69646375	-0.012370774	-0.027577037	0.39658812
nitrate_respiration	Markov	omit	known	0.50000001	0.49999999	0.356056581	0.958258326	0.920157068	0.657157454	-0.002251309	-0.013111618	0.326987706
nitrification	binomial	absent	known	0.50000001	0.49999999	0.730137845	0.998860603	0.994148936	0.86446924	-0.001241135	Inf	0.801146181
nitrite_ammonification	nearest_neighbor	omit	known	0.50000001	0.49999999	0.607142857	0.999748111	0.998771499	0.803391508	-0.000737101	-0.25	0.92024021
nitrite_denitrification	Markov	omit	known	0.50000001	0.49999999	0.336157307	0.969830567	0.948847518	0.652993937	0.005939716	0.206904866	0.284525073
nitrite_respiration	nearest_neighbor	omit	known	0.50000001	0.49999999	0.45740955	0.958178662	0.920825853	0.707794106	-0.000179533	-0.00170146	0.414660803
nitrogen_fixation	Markov	omit	known	0.50000001	0.49999999	0.83406984	0.686582547	0.797530864	0.760326193	0.032098765	0.07261949	0.599375383
nitrogen_respiration	Markov	absent	known	0.50000001	0.49999999	0.296995071	0.964263676	0.879775281	0.630629373	-0.057865169	-0.454547827	0.342648494
nitrous_oxide_denitrification	Markov	absent	known	0.50000001	0.49999999	0.402248577	0.974121303	0.957065217	0.68818494	0.005978261	0.260058957	0.339695415
nonphotosynthetic_cyanobacteria	binomial	absent	known	0.50000001	0.49999999	0.448717949	0.999876218	0.999507389	0.724287558	-0.000246305	Inf	0.711479668
obligate_anaerobes	Markov	omit	known	0.50000001	0.49999999	0.946945744	0.981571656	0.976660682	0.9642587	0.010008977	0.080859384	0.897815154
oil_bioremediation	Markov	absent	known	0.50000001	0.49999999	0.7125	0.863636364	0.89375	0.825757576	0.0125	0.2125	0.622056501
oxygenic_photoautotrophy	binomial	omit	known	0.50000001	0.49999999	0.993333333	0.999737109	0.99961564	0.996535221	0.000128169	0.008070283	0.989330862
pectin_degradation	empirical_probabilities	absent	known	0.50000001	0.49999999	0.465334184	0.839657595	0.747520253	0.65249589	-0.040191425	-0.136681914	0.336398883
photoautotrophy	Markov	omit	known	0.50000001	0.49999999	0.918413098	0.988712503	0.977158273	0.9535628	-0.003776978	-0.020688438	0.914845682
photoheterotrophy	Markov	absent	known	0.50000001	0.49999999	0.876843991	0.956957736	0.940769231	0.916900863	0.035	0.370434323	0.72456739
phototrophy	binomial	omit	known	0.50000001	0.49999999	0.905705736	0.985799301	0.965818182	0.945752518	-0.006545455	-0.028726833	0.898408683
plant_pathogen	nearest_neighbor	absent	effective	0.50000001	0.49999999	0.901823332	0.642857143	0.921428571	0.798041909	-0.032142857	-0.051301301	0.850586875
plastic_degradation	nearest_neighbor	absent	known	0.50000001	0.49999999	1	0.966666667	0.992857143	0.916666667	0.007142857	0.5	0.882771251
predatory_or_exoparasitic	Markov	absent	effective	0.50000001	0.49999999	0.701754386	0.999426481	0.999208395	0.850575341	0.000349779	0.456140351	0.578190618
reductive_acetogenesis	nearest_neighbor	absent	known	0.50000001	0.49999999	0.942924598	0.984073774	0.972043011	0.963499186	-0.003225806	-0.010091957	0.929460951
respiration_of_sulfur_compounds	Markov	omit	known	0.50000001	0.49999999	0.831245817	0.981399583	0.969155447	0.9063227	0.003671971	0.051635298	0.795754321
sulfate_respiration	binomial	omit	known	0.50000001	0.49999999	0.940225618	0.995857719	0.993153527	0.968041668	0.000899032	0.015733825	0.930047623
sulfite_respiration	Markov	omit	known	0.50000001	0.49999999	0.91870929	0.981069021	0.978855721	0.949889155	0.015174129	0.431565236	0.762403066
sulfur_reduction	Markov	omit	known	0.50000001	0.49999999	0.715181092	0.934044615	0.888921801	0.824612854	-0.004917062	-0.023227128	0.654650513
sulfur_respiration	Markov	omit	known	0.50000001	0.49999999	0.845135317	0.967801289	0.961217949	0.906468303	0.024893162	0.564640034	0.65996251
thiosulfate_respiration	Markov	omit	known	0.50000001	0.49999999	0.800780544	0.976720608	0.966725979	0.888750576	0.010735469	0.190051946	0.70958584
ureolysis	empirical_probabilities	omit	known	0.50000001	0.49999999	0.418917235	0.906529107	0.788690499	0.662723171	-0.069336585	-0.285031591	0.368955047
xylanolysis	empirical_probabilities	absent	known	0.50000001	0.49999999	0.532166814	0.840187359	0.758516624	0.686177086	-0.040388151	-0.122853888	0.407215951